ID,Name,Gender,Age,Height (cm),Weight (kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal
50161,Nicole Hosp,F,30,174,70,Austria,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Combined,Silver
50359,Dara Howell,F,19,170,58,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Slopestyle,Gold
50781,Jan Hudec,M,32,183,90,Canada,CAN,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
50839,Tatjana Hfner,F,30,178,76,Germany,GER,2014 Winter,2014,Winter,Sochi,Luge,Luge Women's Singles,Silver
51010,Kaillie Humphries (Simondson-),F,28,170,77,Canada-1,CAN,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Women's Two,Gold
51648,Lydia Ierodiaconou-Lassila,F,32,157,54,Australia,AUS,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Aerials,Bronze
51927,Yelena Ruslanovna Ilyinykh,F,19,164,NA,Russia-1,RUS,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze
51927,Yelena Ruslanovna Ilyinykh,F,19,164,NA,Russia,RUS,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Gold
52037,Jarkko Immonen,M,31,183,95,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
52124,Ida Maria Erika Ingemarsdotter,F,28,174,68,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
52124,Ida Maria Erika Ingemarsdotter,F,28,174,68,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,Bronze
52167,Christof Innerhofer,M,29,186,90,Italy,ITA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
52167,Christof Innerhofer,M,29,186,90,Italy,ITA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
52335,Daniela Iraschko-Stolz,F,30,164,52,Austria,AUT,2014 Winter,2014,Winter,Sochi,Ski Jumping,Ski Jumping Women's Normal Hill  Individual,Silver
52392,Haley Lyn Irwin,F,25,170,78,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
52668,Daiki Ito,M,28,172,57,Japan,JPN,2014 Winter,2014,Winter,Sochi,Ski Jumping,Ski Jumping Men's Large Hill  Team,Bronze
52871,Tatyana Ivanovna Ivanova,F,22,173,70,Russia,RUS,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,Silver
53186,"Bradley ""Brad"" Jacobs",M,28,180,81,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Gold
53794,Kjetil Jansrud,M,28,185,83,Norway,NOR,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
53794,Kjetil Jansrud,M,28,185,83,Norway,NOR,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Super G,Gold
54041,Sami Olavi Jauhojrvi,M,32,174,68,Finland,FIN,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Gold
54296,Brianne Alexandra Jenner,F,22,175,70,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
54771,Jia Zongyang,M,22,175,70,China,CHN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Aerials,Bronze
54967,Jo Hae-Ri,F,27,167,53,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 3 000 metres Relay,Gold
55226,Lars Marcus Johansson,M,23,180,86,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
55285,Therese Johaug,F,25,162,NA,Norway,NOR,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Bronze
55285,Therese Johaug,F,25,162,NA,Norway,NOR,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Silver
55524,Rebecca Ann Johnston,F,24,170,67,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
55559,Jussi Petteri Jokinen,M,30,181,86,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
55561,Olli Veli Pekka Jokinen,M,35,187,91,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
55680,Jennifer Judith Jones,F,39,173,63,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Gold
55681,"Jennifer Marie ""Jenny"" Jones",F,33,161,61,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Slopestyle,Bronze
55809,Karl Emil Jnsson,M,28,178,79,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's Sprint,Bronze
55809,Karl Emil Jnsson,M,28,178,79,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Bronze
56153,Ju Hyeong-Jun,M,22,175,73,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver
56898,Marina Charlotte Kalla,F,26,162,60,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Silver
56898,Marina Charlotte Kalla,F,26,162,60,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,Silver
56898,Marina Charlotte Kalla,F,26,162,60,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
57585,Benjamin Martin Karl,M,28,186,90,Austria,AUT,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Slalom,Bronze
57623,Erik Sven-Gunnar Karlsson,M,23,181,79,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
57744,Anke Karstens,F,28,175,65,Germany,GER,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Parallel Slalom,Silver
57803,Noriaki Kasai,M,41,176,60,Japan,JPN,2014 Winter,2014,Winter,Sochi,Ski Jumping,Ski Jumping Men's Large Hill  Individual,Silver
57803,Noriaki Kasai,M,41,176,60,Japan,JPN,2014 Winter,2014,Winter,Sochi,Ski Jumping,Ski Jumping Men's Large Hill  Team,Bronze
58024,Nikita Gennadyevich Katsalapov,M,22,180,NA,Russia-1,RUS,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze
58024,Nikita Gennadyevich Katsalapov,M,22,180,NA,Russia,RUS,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Gold
58326,Hannah Angela Kearney,F,27,168,69,United States,USA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Moguls,Bronze
58450,Duncan Keith,M,30,185,88,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
58760,"Augustus Richard ""Gus"" Kenworthy",M,22,178,77,United States,USA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Slopestyle,Silver
58919,Amanda Kessel,F,22,165,64,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
59758,Kim A-Lang,F,18,168,53,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 3 000 metres Relay,Gold
59799,Kim Cheol-Min,M,21,172,62,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver
60372,Yu-Na Kim,F,23,165,47,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Women's Singles,Silver
60524,Mikal Kingsbury,M,21,174,68,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Moguls,Silver
60661,Bjrn Kircheisen,M,30,183,69,Germany,GER,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Silver
60982,Viktor Erik Kjll,M,28,182,79,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Bronze
61045,Lukas Klapfer,M,28,182,70,Austria,AUT,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Bronze
61106,"Meiskelina Catharina Anna ""Carien"" Kleibeuker",F,35,172,59,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's 5 000 metres,Bronze
61180,Hvard Klemetsen,M,35,178,67,Norway,NOR,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Gold
61264,Fyodor Aleksandrovich Klimov,M,23,181,NA,Russia-2,RUS,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Pairs,Silver
61264,Fyodor Aleksandrovich Klimov,M,23,181,NA,Russia,RUS,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Gold
61464,Sjinkie Knegt,M,24,172,70,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 1 000 metres,Bronze
61501,Hilary Atwood Knight,F,24,180,79,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
61692,Amelie Kober,F,26,168,56,Germany,GER,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Parallel Slalom,Bronze
62314,"Leonid ""Leo"" Komarov",M,27,180,90,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
62577,Petri Kontiola,M,29,182,92,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
62895,Lauri Korpikoski,M,27,185,88,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
63007,an Koir,M,29,184,77,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Giant Slalom,Bronze
63007,an Koir,M,29,184,77,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Slalom,Silver
63092,Ivica Kosteli,M,34,182,88,Croatia,CRO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Combined,Silver
63125,Carolina Kostner,F,26,169,60,Italy,ITA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Women's Singles,Bronze
63232,Sage Kotsenburg,M,20,178,75,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Slopestyle,Gold
63507,Justyna Kowalczyk,F,31,173,59,Poland,POL,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Gold
63723,Sven Kramer,M,27,185,80,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's 5 000 metres,Gold
63723,Sven Kramer,M,27,185,80,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's 10 000 metres,Silver
63723,Sven Kramer,M,27,185,80,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Gold
63817,Pontus Sebastian Kraupp,M,28,183,79,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Bronze
63826,Marinus Kraus,M,22,173,59,Germany,GER,2014 Winter,2014,Winter,Sochi,Ski Jumping,Ski Jumping Men's Large Hill  Team,Gold
64126,Henrik Kristoffersen,M,19,179,NA,Norway,NOR,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,Bronze
64205,Magnus Krog,M,26,187,NA,Norway,NOR,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Normal Hill / 10 km  Individual,Bronze
64205,Magnus Krog,M,26,187,NA,Norway,NOR,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Gold
64265,Hans Niklas Kronwall,M,33,183,86,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
64337,Marcus Viktor Krger,M,23,182,82,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
64443,Nikita Valeryevich Kryukov,M,28,184,74,Russia,RUS,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Silver
64778,Lasse Juhani Kukkonen,M,32,183,85,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
64936,Patrizia Kummer,F,26,172,70,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Parallel Giant Slalom,Gold
64986,"Christopher ""Chris"" Kunitz",M,34,183,88,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
65033,Claudia Knzel-Nystad,F,36,168,58,Germany,GER,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
65236,Anton Sergeyevich Kushnir,M,29,176,71,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Aerials,Gold
65376,Anastasia Vladimirovna Kuzmina (Shipulina-),F,29,180,67,Slovakia,SVK,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Gold
65539,Anne Maria Kyllnen,F,26,173,61,Finland,FIN,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
65665,"Charline ""Charlie"" Labont",F,31,175,72,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
65946,Krista Lhteenmki (-Prmkoski),F,23,160,57,Finland,FIN,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
66120,Kim Lamarre,F,25,165,54,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Slopestyle,Bronze
66233,Jocelyne Nicole Lamoureux,F,24,168,70,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
66235,Monique Edith Lamoureux (-Kolls),F,24,168,70,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
66305,Dominik Landertinger,M,26,188,75,Austria,AUT,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 10 kilometres Sprint,Silver
66305,Dominik Landertinger,M,26,188,75,Austria,AUT,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
66307,Gabriel Ingemar John Landeskog,M,21,185,99,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
66524,"Steven Daniel ""Steve"" Langton",M,30,188,105,United States-1,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,Bronze
66524,"Steven Daniel ""Steve"" Langton",M,30,188,105,United States-1,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,Bronze
66741,Jocelyne Dawn Marie Larocque,F,25,170,63,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
67295,Kaitlyn Lawes,F,25,160,53,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Gold
68103,Lee Sang-Hwa,F,24,165,62,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's 500 metres,Gold
68140,Lee Seung-Hun,M,25,178,70,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver
68244,Marrit Leenstra,F,24,170,59,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold
68324,Aleksandr Gennadyevich Legkov,M,30,177,65,Russia,RUS,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
68324,Aleksandr Gennadyevich Legkov,M,30,177,65,Russia,RUS,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
68408,Jori Jonatan Lehter,M,26,187,97,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
68437,Kari Lehtonen,M,30,193,91,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
68857,Sami Lepist,M,29,186,85,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
69006,Erik Lesser,M,25,170,70,Germany,GER,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 20 kilometres,Silver
69006,Erik Lesser,M,25,170,70,Germany,GER,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
69397,Li Jianrou,F,27,160,55,China,CHN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Gold
69796,"Theodore Sharp ""Ted"" Ligety",M,29,180,86,United States,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
70064,Bengt Fredrik Lindberg,M,28,179,76,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Bronze
70312,Andreas Linger,M,32,184,85,Austria-1,AUT,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed (Men)'s Doubles,Silver
70313,Wolfgang Linger,M,31,177,75,Austria-1,AUT,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed (Men)'s Doubles,Silver
70401,Yuliya Vyacheslavovna Lipnitskaya,F,15,158,NA,Russia,RUS,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Gold
70941,Yekaterina Aleksandrovna Lobysheva,F,28,178,69,Russia,RUS,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
70950,Felix Loch,M,24,190,90,Germany,GER,2014 Winter,2014,Winter,Sochi,Luge,Luge Men's Singles,Gold
70950,Felix Loch,M,24,190,90,Germany,GER,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,Gold
71033,Devin Logan,F,20,178,82,United States,USA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Slopestyle,Silver
72346,Bjrn Henrik Lundqvist,M,31,185,87,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
72407,Roberto Luongo,M,34,190,93,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
72520,Jessica Lutz,F,24,174,65,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
72798,Olli Mtt,M,19,187,89,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
74175,Jordan Malone,M,29,168,62,United States,USA,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 5 000 metres Relay,Silver
74201,Dominique Maltais,F,33,178,71,Canada,CAN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Boardercross,Silver
74202,Valrie Maltais,F,23,165,62,Canada,CAN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 3 000 metres Relay,Silver
74228,Dmitry Vladimirovich Malyshko,M,26,184,77,Russia,RUS,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
74318,Julia Marie Mancuso (-Fish),F,29,168,64,United States,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Combined,Bronze
74460,Maurice Manificat,M,27,185,72,France,FRA,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
75239,Patrick Denis Marleau,M,34,188,95,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
75872,Marie Martinod,F,29,158,48,France,FRA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Halfpipe,Silver
75959,Julia Marty,F,25,169,69,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
75962,Stefanie Marty,F,25,168,72,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
76010,"Gisle Marie ""Gigi"" Marvin",F,26,173,75,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
76635,Mario Matt,M,34,190,90,Austria,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,Gold
76645,Coline Mattel,F,18,165,57,France,FRA,2014 Winter,2014,Winter,Sochi,Ski Jumping,Ski Jumping Women's Normal Hill  Individual,Bronze
76991,Matthias Mayer,M,23,179,87,Austria,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Downhill,Gold
77079,"Klementina ""Tina"" Maze",F,30,172,68,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Downhill,Gold
77079,"Klementina ""Tina"" Maze",F,30,172,68,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold
77510,Dawn McEwen (Askin-),F,33,162,61,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Gold
77881,Mark McMorris,M,20,180,72,Canada,CAN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Slopestyle,Bronze
78383,Oskars Melbrdis,M,25,189,95,Latvia-1,LAT,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,Silver
79041,Daniel Mesotitsch,M,37,180,78,Austria,AUT,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
79244,Elana Alessandra Meyers (-Taylor),F,29,170,82,United States-1,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Women's Two,Silver
79492,Jonathan Midol,M,26,184,86,France,FRA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Ski Cross,Bronze
79680,Meaghan Mikkelson,F,29,175,67,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
79875,Samuel Bode Miller,M,36,188,91,United States,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
80367,Steve Missillier,M,29,186,80,France,FRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
80725,Magnus Hovdal Moan,M,30,189,74,Norway,NOR,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Large Hill / 10 km  Individual,Silver
80725,Magnus Hovdal Moan,M,30,189,74,Norway,NOR,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Gold
81017,Scott Patrick Moir,M,26,168,75,Canada-1,CAN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
81017,Scott Patrick Moir,M,26,168,75,Canada,CAN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Silver
81689,Kirsten Moore-Towers,F,21,149,45,Canada,CAN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Silver
81846,Ondej Moravec,M,29,181,72,Czech Republic,CZE,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Silver
81846,Ondej Moravec,M,29,181,72,Czech Republic,CZE,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,Silver
81846,Ondej Moravec,M,29,181,72,Czech Republic,CZE,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 15 kilometres Mass Start,Bronze
82059,Thomas Morgenstern,M,27,184,67,Austria,AUT,2014 Winter,2014,Winter,Sochi,Ski Jumping,Ski Jumping Men's Large Hill  Team,Silver
82243,David John Morris,M,29,171,67,Australia,AUS,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Aerials,Silver
82287,Denny Morrison,M,28,183,81,Canada,CAN,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's 1 000 metres,Silver
82287,Denny Morrison,M,28,183,81,Canada,CAN,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's 1 500 metres,Bronze
82381,Dylan Moscovitch,M,29,177,78,Canada,CAN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Silver
82726,Heather Moyse,F,35,178,72,Canada-1,CAN,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Women's Two,Gold
82932,Eve Muirhead,F,23,173,66,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze
82993,Michel Theodoor Mulder,M,27,184,82,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's 500 metres,Gold
82993,Michel Theodoor Mulder,M,27,184,82,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's 1 000 metres,Bronze
82994,Ronald Matthias Mulder,M,27,185,80,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's 500 metres,Bronze
83036,Alina Mller,F,15,162,50,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
83467,David Murdoch,M,35,177,76,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Silver
83982,Katrin Nabholz,F,27,168,56,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
84605,Rick McLaren Nash,M,29,193,93,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
